"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:adobe","company_wide_capex_intensity","0.022046","2021","FY","annual","2021-12-03"
"entity:company:adobe","company_wide_capex_intensity","0.025105","2022","FY","annual","2022-12-02"
"entity:company:adobe","company_wide_capex_intensity","0.018548","2023","FY","annual","2023-12-01"
"entity:company:adobe","company_wide_capex_intensity","0.008510","2024","FY","annual","2024-11-29"
"entity:company:adobe","company_wide_capex_intensity","0.007531","2025","FY","annual","2025-11-28"
"entity:company:amazon","company_wide_capex_intensity","0.129949","2021","FY","annual","2021-12-31"
"entity:company:amazon","company_wide_capex_intensity","0.123827","2022","FY","annual","2022-12-31"
"entity:company:amazon","company_wide_capex_intensity","0.091737","2023","FY","annual","2023-12-31"
"entity:company:amazon","company_wide_capex_intensity","0.130101","2024","FY","annual","2024-12-31"
"entity:company:amazon","company_wide_capex_intensity","0.183867","2025","FY","annual","2025-12-31"
"entity:company:amd","company_wide_capex_intensity","0.018316","2021","FY","annual","2021-12-25"
"entity:company:amd","company_wide_capex_intensity","0.019067","2022","FY","annual","2022-12-31"
"entity:company:amd","company_wide_capex_intensity","0.024074","2023","FY","annual","2023-12-30"
"entity:company:amd","company_wide_capex_intensity","0.024666","2024","FY","annual","2024-12-28"
"entity:company:amd","company_wide_capex_intensity","0.028119","2025","FY","annual","2025-12-27"
"entity:company:broadcom","company_wide_capex_intensity","0.016138","2021","FY","annual","2021-10-31"
"entity:company:broadcom","company_wide_capex_intensity","0.012770","2022","FY","annual","2022-10-30"
"entity:company:broadcom","company_wide_capex_intensity","0.012619","2023","FY","annual","2023-10-29"
"entity:company:broadcom","company_wide_capex_intensity","0.010626","2024","FY","annual","2024-11-03"
"entity:company:broadcom","company_wide_capex_intensity","0.009752","2025","FY","annual","2025-11-02"
"entity:company:datadog","company_wide_capex_intensity","0.009677","2021","FY","annual","2021-12-31"
"entity:company:datadog","company_wide_capex_intensity","0.021050","2022","FY","annual","2022-12-31"
"entity:company:datadog","company_wide_capex_intensity","0.012961","2023","FY","annual","2023-12-31"
"entity:company:datadog","company_wide_capex_intensity","0.012934","2024","FY","annual","2024-12-31"
"entity:company:datadog","company_wide_capex_intensity","0.014466","2025","FY","annual","2025-12-31"
"entity:company:google","company_wide_capex_intensity","0.095638","2021","FY","annual","2021-12-31"
"entity:company:google","company_wide_capex_intensity","0.111319","2022","FY","annual","2022-12-31"
"entity:company:google","company_wide_capex_intensity","0.104917","2023","FY","annual","2023-12-31"
"entity:company:google","company_wide_capex_intensity","0.150092","2024","FY","annual","2024-12-31"
"entity:company:google","company_wide_capex_intensity","0.227008","2025","FY","annual","2025-12-31"
"entity:company:intel","company_wide_capex_intensity","0.237055","2021","FY","annual","2021-12-25"
"entity:company:intel","company_wide_capex_intensity","0.394011","2022","FY","annual","2022-12-31"
"entity:company:intel","company_wide_capex_intensity","0.474847","2023","FY","annual","2023-12-30"
"entity:company:intel","company_wide_capex_intensity","0.450914","2024","FY","annual","2024-12-28"
"entity:company:intel","company_wide_capex_intensity","0.277108","2025","FY","annual","2025-12-27"
"entity:company:meta","company_wide_capex_intensity","0.157442","2021","FY","annual","2021-12-31"
"entity:company:meta","company_wide_capex_intensity","0.269542","2022","FY","annual","2022-12-31"
"entity:company:meta","company_wide_capex_intensity","0.202117","2023","FY","annual","2023-12-31"
"entity:company:meta","company_wide_capex_intensity","0.226479","2024","FY","annual","2024-12-31"
"entity:company:meta","company_wide_capex_intensity","0.346780","2025","FY","annual","2025-12-31"
"entity:company:microsoft","company_wide_capex_intensity","0.120472","2022","FY","annual","2022-06-30"
"entity:company:microsoft","company_wide_capex_intensity","0.132633","2023","FY","annual","2023-06-30"
"entity:company:microsoft","company_wide_capex_intensity","0.181448","2024","FY","annual","2024-06-30"
"entity:company:microsoft","company_wide_capex_intensity","0.229129","2025","FY","annual","2025-06-30"
"entity:company:microsoft","company_wide_capex_intensity","0.349410","2026","FY","annual","2026-06-30"
"entity:company:mongodb","company_wide_capex_intensity","0.009238","2022","FY","annual","2022-01-31"
"entity:company:mongodb","company_wide_capex_intensity","0.005642","2023","FY","annual","2023-01-31"
"entity:company:mongodb","company_wide_capex_intensity","0.003609","2024","FY","annual","2024-01-31"
"entity:company:mongodb","company_wide_capex_intensity","0.014728","2025","FY","annual","2025-01-31"
"entity:company:mongodb","company_wide_capex_intensity","0.002013","2026","FY","annual","2026-01-31"
"entity:company:nvidia","company_wide_capex_intensity","0.017547","2024","FY","annual","2024-01-28"
"entity:company:nvidia","company_wide_capex_intensity","0.024798","2025","FY","annual","2025-01-26"
"entity:company:nvidia","company_wide_capex_intensity","0.027980","2026","FY","annual","2026-01-25"
"entity:company:oracle","company_wide_capex_intensity","0.106291","2022","FY","annual","2022-05-31"
"entity:company:oracle","company_wide_capex_intensity","0.174060","2023","FY","annual","2023-05-31"
"entity:company:oracle","company_wide_capex_intensity","0.129643","2024","FY","annual","2024-05-31"
"entity:company:oracle","company_wide_capex_intensity","0.369606","2025","FY","annual","2025-05-31"
"entity:company:oracle","company_wide_capex_intensity","0.826388","2026","FY","annual","2026-05-31"
