"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:adobe","revenue","included","","","annual_slot",""
"entity:company:adobe","capital_expenditure","included","","","annual_slot",""
"entity:company:adobe","research_and_development","included","","","annual_slot",""
"entity:company:amazon","revenue","included","","","annual_slot",""
"entity:company:amazon","capital_expenditure","included","","","annual_slot",""
"entity:company:amazon","research_and_development","withheld","","","annual_slot",""
"entity:company:amd","revenue","included","","","annual_slot",""
"entity:company:amd","capital_expenditure","included","","","annual_slot",""
"entity:company:amd","research_and_development","included","","","annual_slot",""
"entity:company:broadcom","revenue","included","","","annual_slot",""
"entity:company:broadcom","capital_expenditure","included","","","annual_slot",""
"entity:company:broadcom","research_and_development","included","","","annual_slot",""
"entity:company:datadog","revenue","included","","","annual_slot",""
"entity:company:datadog","capital_expenditure","included","","","annual_slot",""
"entity:company:datadog","research_and_development","included","","","annual_slot",""
"entity:company:digital-realty","revenue","included","","","annual_slot",""
"entity:company:digital-realty","capital_expenditure","withheld","","","annual_slot",""
"entity:company:digital-realty","research_and_development","withheld","","","annual_slot",""
"entity:company:google","revenue","included","","","annual_slot",""
"entity:company:google","capital_expenditure","included","","","annual_slot",""
"entity:company:google","research_and_development","included","","","annual_slot",""
"entity:company:intel","revenue","included","","","annual_slot",""
"entity:company:intel","capital_expenditure","included","","","annual_slot",""
"entity:company:intel","research_and_development","included","","","annual_slot",""
"entity:company:meta","revenue","included","","","annual_slot",""
"entity:company:meta","capital_expenditure","included","","","annual_slot",""
"entity:company:meta","research_and_development","included","","","annual_slot",""
"entity:company:microsoft","revenue","included","","","annual_slot",""
"entity:company:microsoft","capital_expenditure","included","","","annual_slot",""
"entity:company:microsoft","research_and_development","included","","","annual_slot",""
"entity:company:mongodb","revenue","included","","","annual_slot",""
"entity:company:mongodb","capital_expenditure","included","","","annual_slot",""
"entity:company:mongodb","research_and_development","included","","","annual_slot",""
"entity:company:nvidia","revenue","included","","","annual_slot",""
"entity:company:nvidia","capital_expenditure","included","","","annual_slot",""
"entity:company:nvidia","research_and_development","included","","","annual_slot",""
"entity:company:oracle","revenue","included","","","annual_slot",""
"entity:company:oracle","capital_expenditure","included","","","annual_slot",""
"entity:company:oracle","research_and_development","included","","","annual_slot",""
"entity:company:palantir","revenue","included","","","annual_slot",""
"entity:company:palantir","capital_expenditure","included","","","annual_slot",""
"entity:company:palantir","research_and_development","included","","","annual_slot",""
"entity:company:salesforce","revenue","included","","","annual_slot",""
"entity:company:salesforce","capital_expenditure","included","","","annual_slot",""
"entity:company:salesforce","research_and_development","included","","","annual_slot",""
"entity:company:servicenow","revenue","included","","","annual_slot",""
"entity:company:servicenow","capital_expenditure","included","","","annual_slot",""
"entity:company:servicenow","research_and_development","included","","","annual_slot",""
"entity:company:snowflake","revenue","included","","","annual_slot",""
"entity:company:snowflake","capital_expenditure","included","","","annual_slot",""
"entity:company:snowflake","research_and_development","included","","","annual_slot",""
