"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:adobe","capital_expenditure","179000000","2025","FY","annual","2025-11-28"
"entity:company:adobe","research_and_development","4294000000","2025","FY","annual","2025-11-28"
"entity:company:adobe","revenue","23769000000","2025","FY","annual","2025-11-28"
"entity:company:amazon","capital_expenditure","131819000000","2025","FY","annual","2025-12-31"
"entity:company:amazon","revenue","716924000000","2025","FY","annual","2025-12-31"
"entity:company:amd","capital_expenditure","974000000","2025","FY","annual","2025-12-27"
"entity:company:amd","research_and_development","8091000000","2025","FY","annual","2025-12-27"
"entity:company:amd","revenue","34639000000","2025","FY","annual","2025-12-27"
"entity:company:broadcom","capital_expenditure","623000000","2025","FY","annual","2025-11-02"
"entity:company:broadcom","research_and_development","10977000000","2025","FY","annual","2025-11-02"
"entity:company:broadcom","revenue","63887000000","2025","FY","annual","2025-11-02"
"entity:company:datadog","capital_expenditure","49578000","2025","FY","annual","2025-12-31"
"entity:company:datadog","research_and_development","1548451000","2025","FY","annual","2025-12-31"
"entity:company:datadog","revenue","3427158000","2025","FY","annual","2025-12-31"
"entity:company:digital-realty","revenue","6112692000","2025","FY","annual","2025-12-31"
"entity:company:google","capital_expenditure","91447000000","2025","FY","annual","2025-12-31"
"entity:company:google","research_and_development","61087000000","2025","FY","annual","2025-12-31"
"entity:company:google","revenue","402836000000","2025","FY","annual","2025-12-31"
"entity:company:intel","capital_expenditure","14646000000","2025","FY","annual","2025-12-27"
"entity:company:intel","research_and_development","13774000000","2025","FY","annual","2025-12-27"
"entity:company:intel","revenue","52853000000","2025","FY","annual","2025-12-27"
"entity:company:meta","capital_expenditure","69691000000","2025","FY","annual","2025-12-31"
"entity:company:meta","research_and_development","57372000000","2025","FY","annual","2025-12-31"
"entity:company:meta","revenue","200966000000","2025","FY","annual","2025-12-31"
"entity:company:microsoft","capital_expenditure","115948000000","2026","FY","annual","2026-06-30"
"entity:company:microsoft","research_and_development","35562000000","2026","FY","annual","2026-06-30"
"entity:company:microsoft","revenue","331839000000","2026","FY","annual","2026-06-30"
"entity:company:mongodb","capital_expenditure","4960000","2026","FY","annual","2026-01-31"
"entity:company:mongodb","research_and_development","716303000","2026","FY","annual","2026-01-31"
"entity:company:mongodb","revenue","2463797000","2026","FY","annual","2026-01-31"
"entity:company:nvidia","capital_expenditure","6042000000","2026","FY","annual","2026-01-25"
"entity:company:nvidia","research_and_development","18497000000","2026","FY","annual","2026-01-25"
"entity:company:nvidia","revenue","215938000000","2026","FY","annual","2026-01-25"
"entity:company:oracle","capital_expenditure","55663000000","2026","FY","annual","2026-05-31"
"entity:company:oracle","research_and_development","10272000000","2026","FY","annual","2026-05-31"
"entity:company:oracle","revenue","67357000000","2026","FY","annual","2026-05-31"
"entity:company:palantir","capital_expenditure","33882000","2025","FY","annual","2025-12-31"
"entity:company:palantir","research_and_development","557677000","2025","FY","annual","2025-12-31"
"entity:company:palantir","revenue","4475446000","2025","FY","annual","2025-12-31"
"entity:company:salesforce","capital_expenditure","594000000","2025","FY","annual","2026-01-31"
"entity:company:salesforce","research_and_development","5993000000","2025","FY","annual","2026-01-31"
"entity:company:salesforce","revenue","41525000000","2025","FY","annual","2026-01-31"
"entity:company:servicenow","capital_expenditure","868000000","2025","FY","annual","2025-12-31"
"entity:company:servicenow","research_and_development","2960000000","2025","FY","annual","2025-12-31"
"entity:company:servicenow","revenue","13278000000","2025","FY","annual","2025-12-31"
"entity:company:snowflake","capital_expenditure","101628000","2026","FY","annual","2026-01-31"
"entity:company:snowflake","research_and_development","1969472000","2026","FY","annual","2026-01-31"
"entity:company:snowflake","revenue","4683946000","2026","FY","annual","2026-01-31"
