"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:adobe","capital_expenditure","95000000","2026","Q2","ytd_interim","2026-05-29"
"entity:company:adobe","research_and_development","1198000000","2026","Q2","quarter","2026-05-29"
"entity:company:adobe","revenue","6618000000","2026","Q2","quarter","2026-05-29"
"entity:company:amazon","capital_expenditure","54208000000","2026","Q2","quarter","2026-06-30"
"entity:company:amazon","revenue","200606000000","2026","Q2","quarter","2026-06-30"
"entity:company:amd","capital_expenditure","1197000000","2026","Q2","ytd_interim","2026-06-27"
"entity:company:amd","research_and_development","2528000000","2026","Q2","quarter","2026-06-27"
"entity:company:amd","revenue","11536000000","2026","Q2","quarter","2026-06-27"
"entity:company:broadcom","capital_expenditure","481000000","2026","Q2","ytd_interim","2026-05-03"
"entity:company:broadcom","research_and_development","2995000000","2026","Q2","quarter","2026-05-03"
"entity:company:broadcom","revenue","22187000000","2026","Q2","quarter","2026-05-03"
"entity:company:datadog","capital_expenditure","21247000","2026","Q2","ytd_interim","2026-06-30"
"entity:company:datadog","research_and_development","477968000","2026","Q2","quarter","2026-06-30"
"entity:company:datadog","revenue","1121454000","2026","Q2","quarter","2026-06-30"
"entity:company:digital-realty","revenue","1635173000","2026","Q1","quarter","2026-03-31"
"entity:company:google","capital_expenditure","80598000000","2026","Q2","ytd_interim","2026-06-30"
"entity:company:google","research_and_development","18219000000","2026","Q2","quarter","2026-06-30"
"entity:company:google","revenue","119796000000","2026","Q2","quarter","2026-06-30"
"entity:company:intel","capital_expenditure","6192000000","2026","Q2","ytd_interim","2026-06-27"
"entity:company:intel","research_and_development","3368000000","2026","Q2","quarter","2026-06-27"
"entity:company:intel","revenue","16128000000","2026","Q2","quarter","2026-06-27"
"entity:company:meta","capital_expenditure","49113000000","2026","Q2","ytd_interim","2026-06-30"
"entity:company:meta","research_and_development","21656000000","2026","Q2","quarter","2026-06-30"
"entity:company:meta","revenue","60801000000","2026","Q2","quarter","2026-06-30"
"entity:company:microsoft","capital_expenditure","30876000000","2026","Q3","quarter","2026-03-31"
"entity:company:microsoft","research_and_development","8915000000","2026","Q3","quarter","2026-03-31"
"entity:company:microsoft","revenue","82886000000","2026","Q3","quarter","2026-03-31"
"entity:company:mongodb","capital_expenditure","2319000","2027","Q1","quarter","2026-04-30"
"entity:company:mongodb","research_and_development","200409000","2027","Q1","quarter","2026-04-30"
"entity:company:mongodb","revenue","687616000","2027","Q1","quarter","2026-04-30"
"entity:company:nvidia","capital_expenditure","1757000000","2027","Q1","quarter","2026-04-26"
"entity:company:nvidia","research_and_development","6321000000","2027","Q1","quarter","2026-04-26"
"entity:company:nvidia","revenue","81615000000","2027","Q1","quarter","2026-04-26"
"entity:company:oracle","capital_expenditure","39170000000","2026","Q3","ytd_interim","2026-02-28"
"entity:company:oracle","research_and_development","2607000000","2026","Q3","quarter","2026-02-28"
"entity:company:oracle","revenue","17190000000","2026","Q3","quarter","2026-02-28"
"entity:company:palantir","capital_expenditure","21955000","2026","Q2","ytd_interim","2026-06-30"
"entity:company:palantir","research_and_development","192513000","2026","Q2","quarter","2026-06-30"
"entity:company:palantir","revenue","1935464000","2026","Q2","quarter","2026-06-30"
"entity:company:salesforce","capital_expenditure","145000000","2027","Q1","quarter","2026-04-30"
"entity:company:salesforce","research_and_development","1627000000","2027","Q1","quarter","2026-04-30"
"entity:company:salesforce","revenue","11133000000","2027","Q1","quarter","2026-04-30"
"entity:company:servicenow","capital_expenditure","255000000","2026","Q2","ytd_interim","2026-06-30"
"entity:company:servicenow","research_and_development","915000000","2026","Q2","quarter","2026-06-30"
"entity:company:servicenow","revenue","3987000000","2026","Q2","quarter","2026-06-30"
"entity:company:snowflake","capital_expenditure","10451000","2027","Q1","quarter","2026-04-30"
"entity:company:snowflake","research_and_development","534937000","2027","Q1","quarter","2026-04-30"
"entity:company:snowflake","revenue","1390951000","2027","Q1","quarter","2026-04-30"
