"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:adobe","capital_expenditure","348000000","2021","FY","annual","2021-12-03"
"entity:company:adobe","capital_expenditure","442000000","2022","FY","annual","2022-12-02"
"entity:company:adobe","capital_expenditure","360000000","2023","FY","annual","2023-12-01"
"entity:company:adobe","capital_expenditure","183000000","2024","FY","annual","2024-11-29"
"entity:company:adobe","capital_expenditure","179000000","2025","FY","annual","2025-11-28"
"entity:company:adobe","research_and_development","2540000000","2021","FY","annual","2021-12-03"
"entity:company:adobe","research_and_development","2987000000","2022","FY","annual","2022-12-02"
"entity:company:adobe","research_and_development","3473000000","2023","FY","annual","2023-12-01"
"entity:company:adobe","research_and_development","3944000000","2024","FY","annual","2024-11-29"
"entity:company:adobe","research_and_development","4294000000","2025","FY","annual","2025-11-28"
"entity:company:adobe","revenue","15785000000","2021","FY","annual","2021-12-03"
"entity:company:adobe","revenue","17606000000","2022","FY","annual","2022-12-02"
"entity:company:adobe","revenue","19409000000","2023","FY","annual","2023-12-01"
"entity:company:adobe","revenue","21505000000","2024","FY","annual","2024-11-29"
"entity:company:adobe","revenue","23769000000","2025","FY","annual","2025-11-28"
"entity:company:amazon","capital_expenditure","61053000000","2021","FY","annual","2021-12-31"
"entity:company:amazon","capital_expenditure","63645000000","2022","FY","annual","2022-12-31"
"entity:company:amazon","capital_expenditure","52729000000","2023","FY","annual","2023-12-31"
"entity:company:amazon","capital_expenditure","82999000000","2024","FY","annual","2024-12-31"
"entity:company:amazon","capital_expenditure","131819000000","2025","FY","annual","2025-12-31"
"entity:company:amazon","revenue","469822000000","2021","FY","annual","2021-12-31"
"entity:company:amazon","revenue","513983000000","2022","FY","annual","2022-12-31"
"entity:company:amazon","revenue","574785000000","2023","FY","annual","2023-12-31"
"entity:company:amazon","revenue","637959000000","2024","FY","annual","2024-12-31"
"entity:company:amazon","revenue","716924000000","2025","FY","annual","2025-12-31"
"entity:company:amd","capital_expenditure","301000000","2021","FY","annual","2021-12-25"
"entity:company:amd","capital_expenditure","450000000","2022","FY","annual","2022-12-31"
"entity:company:amd","capital_expenditure","546000000","2023","FY","annual","2023-12-30"
"entity:company:amd","capital_expenditure","636000000","2024","FY","annual","2024-12-28"
"entity:company:amd","capital_expenditure","974000000","2025","FY","annual","2025-12-27"
"entity:company:amd","research_and_development","2845000000","2021","FY","annual","2021-12-25"
"entity:company:amd","research_and_development","5005000000","2022","FY","annual","2022-12-31"
"entity:company:amd","research_and_development","5872000000","2023","FY","annual","2023-12-30"
"entity:company:amd","research_and_development","6456000000","2024","FY","annual","2024-12-28"
"entity:company:amd","research_and_development","8091000000","2025","FY","annual","2025-12-27"
"entity:company:amd","revenue","16434000000","2021","FY","annual","2021-12-25"
"entity:company:amd","revenue","23601000000","2022","FY","annual","2022-12-31"
"entity:company:amd","revenue","22680000000","2023","FY","annual","2023-12-30"
"entity:company:amd","revenue","25785000000","2024","FY","annual","2024-12-28"
"entity:company:amd","revenue","34639000000","2025","FY","annual","2025-12-27"
"entity:company:broadcom","capital_expenditure","443000000","2021","FY","annual","2021-10-31"
"entity:company:broadcom","capital_expenditure","424000000","2022","FY","annual","2022-10-30"
"entity:company:broadcom","capital_expenditure","452000000","2023","FY","annual","2023-10-29"
"entity:company:broadcom","capital_expenditure","548000000","2024","FY","annual","2024-11-03"
"entity:company:broadcom","capital_expenditure","623000000","2025","FY","annual","2025-11-02"
"entity:company:broadcom","research_and_development","4854000000","2021","FY","annual","2021-10-31"
"entity:company:broadcom","research_and_development","4919000000","2022","FY","annual","2022-10-30"
"entity:company:broadcom","research_and_development","5253000000","2023","FY","annual","2023-10-29"
"entity:company:broadcom","research_and_development","9310000000","2024","FY","annual","2024-11-03"
"entity:company:broadcom","research_and_development","10977000000","2025","FY","annual","2025-11-02"
"entity:company:broadcom","revenue","27450000000","2021","FY","annual","2021-10-31"
"entity:company:broadcom","revenue","33203000000","2022","FY","annual","2022-10-30"
"entity:company:broadcom","revenue","35819000000","2023","FY","annual","2023-10-29"
"entity:company:broadcom","revenue","51574000000","2024","FY","annual","2024-11-03"
"entity:company:broadcom","revenue","63887000000","2025","FY","annual","2025-11-02"
"entity:company:datadog","capital_expenditure","9956000","2021","FY","annual","2021-12-31"
"entity:company:datadog","capital_expenditure","35261000","2022","FY","annual","2022-12-31"
"entity:company:datadog","capital_expenditure","27586000","2023","FY","annual","2023-12-31"
"entity:company:datadog","capital_expenditure","34719000","2024","FY","annual","2024-12-31"
"entity:company:datadog","capital_expenditure","49578000","2025","FY","annual","2025-12-31"
"entity:company:datadog","research_and_development","419769000","2021","FY","annual","2021-12-31"
"entity:company:datadog","research_and_development","752351000","2022","FY","annual","2022-12-31"
"entity:company:datadog","research_and_development","962447000","2023","FY","annual","2023-12-31"
"entity:company:datadog","research_and_development","1152703000","2024","FY","annual","2024-12-31"
"entity:company:datadog","research_and_development","1548451000","2025","FY","annual","2025-12-31"
"entity:company:datadog","revenue","1028784000","2021","FY","annual","2021-12-31"
"entity:company:datadog","revenue","1675100000","2022","FY","annual","2022-12-31"
"entity:company:datadog","revenue","2128359000","2023","FY","annual","2023-12-31"
"entity:company:datadog","revenue","2684275000","2024","FY","annual","2024-12-31"
"entity:company:datadog","revenue","3427158000","2025","FY","annual","2025-12-31"
"entity:company:digital-realty","revenue","4427882000","2021","FY","annual","2021-12-31"
"entity:company:digital-realty","revenue","4691834000","2022","FY","annual","2022-12-31"
"entity:company:digital-realty","revenue","5477061000","2023","FY","annual","2023-12-31"
"entity:company:digital-realty","revenue","5554968000","2024","FY","annual","2024-12-31"
"entity:company:digital-realty","revenue","6112692000","2025","FY","annual","2025-12-31"
"entity:company:google","capital_expenditure","24640000000","2021","FY","annual","2021-12-31"
"entity:company:google","capital_expenditure","31485000000","2022","FY","annual","2022-12-31"
"entity:company:google","capital_expenditure","32251000000","2023","FY","annual","2023-12-31"
"entity:company:google","capital_expenditure","52535000000","2024","FY","annual","2024-12-31"
"entity:company:google","capital_expenditure","91447000000","2025","FY","annual","2025-12-31"
"entity:company:google","research_and_development","31562000000","2021","FY","annual","2021-12-31"
"entity:company:google","research_and_development","39500000000","2022","FY","annual","2022-12-31"
"entity:company:google","research_and_development","45427000000","2023","FY","annual","2023-12-31"
"entity:company:google","research_and_development","49326000000","2024","FY","annual","2024-12-31"
"entity:company:google","research_and_development","61087000000","2025","FY","annual","2025-12-31"
"entity:company:google","revenue","257637000000","2021","FY","annual","2021-12-31"
"entity:company:google","revenue","282836000000","2022","FY","annual","2022-12-31"
"entity:company:google","revenue","307394000000","2023","FY","annual","2023-12-31"
"entity:company:google","revenue","350018000000","2024","FY","annual","2024-12-31"
"entity:company:google","revenue","402836000000","2025","FY","annual","2025-12-31"
"entity:company:intel","capital_expenditure","18733000000","2021","FY","annual","2021-12-25"
"entity:company:intel","capital_expenditure","24844000000","2022","FY","annual","2022-12-31"
"entity:company:intel","capital_expenditure","25750000000","2023","FY","annual","2023-12-30"
"entity:company:intel","capital_expenditure","23944000000","2024","FY","annual","2024-12-28"
"entity:company:intel","capital_expenditure","14646000000","2025","FY","annual","2025-12-27"
"entity:company:intel","research_and_development","15190000000","2021","FY","annual","2021-12-25"
"entity:company:intel","research_and_development","17528000000","2022","FY","annual","2022-12-31"
"entity:company:intel","research_and_development","16046000000","2023","FY","annual","2023-12-30"
"entity:company:intel","research_and_development","16546000000","2024","FY","annual","2024-12-28"
"entity:company:intel","research_and_development","13774000000","2025","FY","annual","2025-12-27"
"entity:company:intel","revenue","79024000000","2021","FY","annual","2021-12-25"
"entity:company:intel","revenue","63054000000","2022","FY","annual","2022-12-31"
"entity:company:intel","revenue","54228000000","2023","FY","annual","2023-12-30"
"entity:company:intel","revenue","53101000000","2024","FY","annual","2024-12-28"
"entity:company:intel","revenue","52853000000","2025","FY","annual","2025-12-27"
"entity:company:meta","capital_expenditure","18567000000","2021","FY","annual","2021-12-31"
"entity:company:meta","capital_expenditure","31431000000","2022","FY","annual","2022-12-31"
