"coverageCellId","entityKey","metricFamily","fiscalPeriod","sourceClass","coverageState","bestTrustState","stableRecordId","freshnessState","limitation"
"a502fe4cdff1f4d3ebb2d4b285846ec5","entity:company:alphabet","ai_specific_disclosure","FY2025","official_company_ir_metadata","pending_review","","","unknown","Narrative AI disclosure remains review-controlled."
"44853f300936967c7cd7f5735bb80974","entity:company:alphabet","ai_specific_disclosure","FY2025","sec_edgar_metadata","pending_review","","","unknown","Narrative AI disclosure remains review-controlled."
"0b7a5025a32d557dc645eaa89d78f41c","entity:company:alphabet","ai_specific_disclosure","FY2026","official_company_ir_metadata","pending_review","","","unknown","Narrative AI disclosure remains review-controlled."
"b01acdc1475e6ce5b8a29cfb19ac9b0a","entity:company:alphabet","ai_specific_disclosure","FY2026","sec_edgar_metadata","pending_review","","","unknown","Narrative AI disclosure remains review-controlled."
"bde5752e3779e0d75f24862c42b53810","entity:company:alphabet","capital_expenditure","FY2025","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"afa4fe8bea86d4fb4e28fe31e46f1f48","entity:company:alphabet","capital_expenditure","FY2025","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"57eeffbad826563716216cc336a2a13f","entity:company:alphabet","capital_expenditure","FY2026","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"18c4290293d96ef10450026e7d9f5f3e","entity:company:alphabet","capital_expenditure","FY2026","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"393068b339d8e73ff8043dcb8d53a85b","entity:company:alphabet","revenue","FY2025","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"bf958f7d3f49704342ba41948db44e90","entity:company:alphabet","revenue","FY2025","sec_edgar_metadata","covered","human_verified","baseline-record:alphabet:revenue:fy2025","current_for_release",""
"3e85ce7d09f8d8b1237605dd8ac496e7","entity:company:alphabet","revenue","FY2026","official_company_ir_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"07f32659c3c968e4564fddc6985013b8","entity:company:alphabet","revenue","FY2026","sec_edgar_metadata","unknown","","","unknown","FY revenue human-reviewed from SEC structured source metadata."
"b14cc2d09da01aeeed15321d84faa8a5","entity:company:amazon","ai_specific_disclosure","FY2025","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"22e26a37a54ded96bfe10b7c1a0a3588","entity:company:amazon","ai_specific_disclosure","FY2025","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"d0924d97b48db140ee735d8f2b1476ce","entity:company:amazon","ai_specific_disclosure","FY2026","official_company_ir_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"586e3257588fb90cd884849687eb6127","entity:company:amazon","ai_specific_disclosure","FY2026","sec_edgar_metadata","not_disclosed","","","unknown","No selected explicit AI metric is verified in this release."
"6e5718bb79c84f2215bde038edfbb2ca","entity:company:amazon","capital_expenditure","FY2025","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"9dec878568a7a958c17fa71b344e0f4e","entity:company:amazon","capital_expenditure","FY2025","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"ae426356f2075227ae1f8d062e57a435","entity:company:amazon","capital_expenditure","FY2026","official_company_ir_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"3f125615e2935e0695e2f13653ee180a","entity:company:amazon","capital_expenditure","FY2026","sec_edgar_metadata","unknown","","","unknown","No PR31 reviewed capex value included."
"353e788b7cf15edb00b4d5fb9d211d1a","entity:company:amazon","revenue","FY2025","official_company_ir_metadata","pending_review","","","unknown","Source-attributed conflicted record excluded from headline totals."
